Order Date,Product,Region,Channel,Units Sold,Revenue,Profit
2025-01-01,Enterprise Cloud,Latin America,Organic Web,6,6453.72,797.02
2025-01-02,Developer License,Latin America,Paid Search,4,10024.09,4350.11
2025-01-02,Enterprise Cloud,Latin America,Partner Referral,11,12629.07,3759.27
2025-01-02,Starter Kit,Latin America,Partner Referral,5,5852.71,2495.58
2025-01-04,Starter Kit,Asia Pacific,Direct Sales,18,10104.16,1596.43
2025-01-04,Developer License,Europe,Organic Web,13,1165.03,5337.52
2025-01-05,Starter Kit,Latin America,Paid Search,1,2569.06,1947.26
2025-01-05,Enterprise Cloud,Europe,Partner Referral,2,1230.69,2401.03
2025-01-06,Enterprise Cloud,Latin America,Partner Referral,3,11679.06,4944.08
2025-01-09,Pro Suite,North America,Paid Search,11,12728.41,5248.51
2025-01-09,Starter Kit,Europe,Direct Sales,18,4050.34,1708.62
2025-01-10,Starter Kit,North America,Paid Search,14,11959.76,2225.8
2025-01-13,API Credits,Europe,Partner Referral,14,5645.52,1346.46
2025-01-13,Pro Suite,Latin America,Partner Referral,4,10846.43,4292.62
2025-01-14,Developer License,Latin America,Direct Sales,14,9988.29,568.2
2025-01-15,Developer License,Europe,Direct Sales,5,1667.84,2278.59
2025-01-15,Starter Kit,Asia Pacific,Organic Web,11,13326.49,3582.28
2025-01-16,Enterprise Cloud,Latin America,Partner Referral,13,12473.44,2103.89
2025-01-17,API Credits,Asia Pacific,Organic Web,12,7567.63,3767.46
2025-01-18,Developer License,Asia Pacific,Paid Search,10,4298.19,4256.51
2025-01-20,Pro Suite,Europe,Paid Search,9,12901.02,4230.12
2025-01-21,Starter Kit,North America,Paid Search,4,14356.22,4825.38
2025-01-21,Starter Kit,Latin America,Partner Referral,10,1651.62,5360.51
2025-01-22,Starter Kit,Europe,Partner Referral,6,6996.75,483.77
2025-01-22,Enterprise Cloud,Latin America,Paid Search,5,13546.08,2203.03
2025-01-23,Pro Suite,Europe,Paid Search,3,1368.74,5778.47
2025-01-26,Enterprise Cloud,North America,Partner Referral,6,386.59,4237.95
2025-01-27,Developer License,Asia Pacific,Direct Sales,4,3232.24,1962.9
2025-01-28,Enterprise Cloud,Europe,Partner Referral,7,10495.15,1002.15
2025-01-28,API Credits,Asia Pacific,Organic Web,6,14073.34,310.25
2025-01-29,Starter Kit,North America,Direct Sales,2,3196.71,3654.39
2025-02-02,API Credits,North America,Organic Web,1,12303.22,3931.14
2025-02-02,Pro Suite,Latin America,Paid Search,19,7785.04,4257.16
2025-02-04,Enterprise Cloud,Europe,Organic Web,17,7066.18,3043.35
2025-02-04,Pro Suite,Asia Pacific,Direct Sales,8,1416.14,5957.26
2025-02-04,API Credits,Asia Pacific,Direct Sales,17,8562.33,4800.36
2025-02-05,Enterprise Cloud,Europe,Paid Search,6,14379.49,2219.33
2025-02-05,Pro Suite,Latin America,Partner Referral,13,11026.15,4578.17
2025-02-06,Pro Suite,Asia Pacific,Organic Web,6,7945.28,3145.01
2025-02-06,Pro Suite,Asia Pacific,Paid Search,7,973.42,2184.36
2025-02-07,Enterprise Cloud,Asia Pacific,Direct Sales,13,3180.18,1432.69
2025-02-08,Starter Kit,North America,Partner Referral,1,13252.53,2988.19
2025-02-08,Enterprise Cloud,Asia Pacific,Partner Referral,12,11439.09,700.12
2025-02-08,Pro Suite,North America,Organic Web,7,13562.85,394.17
2025-02-10,API Credits,Asia Pacific,Direct Sales,10,1998.22,4088.09
2025-02-10,Pro Suite,Europe,Organic Web,8,14773.11,3484.34
2025-02-11,Starter Kit,Latin America,Organic Web,2,12041.05,2611.65
2025-02-13,Pro Suite,North America,Organic Web,1,9369.92,4549.47
2025-02-13,Pro Suite,Europe,Partner Referral,12,820.88,4936.13
2025-02-14,Enterprise Cloud,Asia Pacific,Paid Search,19,13315.7,2336.03
2025-02-15,Starter Kit,Asia Pacific,Paid Search,18,5830.22,4298.02
2025-02-16,API Credits,Latin America,Direct Sales,4,4658.73,440.88
2025-02-16,Enterprise Cloud,North America,Organic Web,10,9714.65,395.65
2025-02-17,API Credits,Asia Pacific,Partner Referral,19,4524.83,154.44
2025-02-17,Enterprise Cloud,North America,Direct Sales,11,3359.97,5081.35
2025-02-18,Starter Kit,Europe,Paid Search,5,8172.79,3535.9
2025-02-18,Starter Kit,Asia Pacific,Direct Sales,9,13447.74,1697.05
2025-02-19,Enterprise Cloud,Asia Pacific,Direct Sales,1,11584.5,2397.73
2025-02-20,Enterprise Cloud,North America,Paid Search,8,5087.18,5578.91
2025-02-20,Starter Kit,Latin America,Organic Web,15,5161.08,1292.85
2025-02-20,Pro Suite,Latin America,Direct Sales,17,7780.88,1281.61
2025-02-21,Pro Suite,North America,Organic Web,12,11087.81,2116.3
2025-02-21,Enterprise Cloud,Europe,Organic Web,16,5459.69,3892.64
2025-02-22,Developer License,Asia Pacific,Paid Search,9,10207.43,4444.65
2025-02-22,Enterprise Cloud,Europe,Paid Search,1,6594.74,472.5
2025-02-22,Pro Suite,North America,Organic Web,15,12509.12,5785.97
2025-02-22,Enterprise Cloud,North America,Partner Referral,12,9972.48,3069.1
2025-02-23,Starter Kit,Latin America,Paid Search,17,3189.83,72.73
2025-02-23,Enterprise Cloud,Latin America,Organic Web,16,14690.75,1807.04
2025-02-23,Pro Suite,North America,Paid Search,16,8898.99,1247.81
