Signup Date,Customer ID,Plan Tier,Country,MRR,LTV,Status,Churn Reason
2025-01-01,CUST-1292,Custom,Australia,49,31352.15,Active,Competitor
2025-01-02,CUST-1350,Basic,Germany,1200,10238.06,Active,Budget Cut
2025-01-03,CUST-1232,Custom,Australia,49,7825.52,Paused,Price
2025-01-03,CUST-1306,Basic,Canada,1200,19582.36,Cancelled,None
2025-01-03,CUST-1031,Enterprise,United Kingdom,49,16529.15,Cancelled,None
2025-01-04,CUST-1205,Custom,India,499,7227.81,Active,Missing Feature
2025-01-05,CUST-1371,Professional,Germany,499,31330.42,Active,Support
2025-01-05,CUST-1008,Basic,Germany,499,31524.48,Active,Price
2025-01-06,CUST-1032,Custom,United States,1200,13596.78,Active,Competitor
2025-01-07,CUST-1354,Professional,Canada,2500,22990.58,Active,Budget Cut
2025-01-08,CUST-1081,Enterprise,India,499,32134.5,Active,Price
2025-01-08,CUST-1078,Basic,United Kingdom,499,31105.62,Active,None
2025-01-08,CUST-1034,Custom,United Kingdom,2500,10356.64,Active,Competitor
2025-01-09,CUST-1267,Professional,Australia,499,27574.55,Active,None
2025-01-10,CUST-1116,Professional,India,1200,715.88,Active,Competitor
2025-01-10,CUST-1269,Basic,India,499,21389.1,Active,None
2025-01-11,CUST-1043,Enterprise,Germany,2500,778.04,Active,Support
2025-01-12,CUST-1364,Professional,Australia,49,14271.25,Cancelled,Competitor
2025-01-13,CUST-1339,Custom,India,199,3691.27,Active,Budget Cut
2025-01-14,CUST-1391,Enterprise,Germany,199,19491.28,Paused,Competitor
2025-01-15,CUST-1016,Basic,Germany,1200,10436.18,Active,Missing Feature
2025-01-16,CUST-1253,Professional,Germany,49,28306.27,Active,Missing Feature
2025-01-17,CUST-1139,Enterprise,Germany,499,30536.87,Paused,Support
2025-01-19,CUST-1062,Enterprise,Germany,199,7775.57,Active,Competitor
2025-01-19,CUST-1380,Professional,Canada,2500,25767.4,Paused,Budget Cut
2025-01-22,CUST-1351,Enterprise,Germany,49,10783.61,Cancelled,Budget Cut
2025-01-22,CUST-1254,Custom,Australia,199,20924.58,Paused,Missing Feature
2025-01-24,CUST-1204,Professional,Canada,49,17482.01,Active,Budget Cut
2025-01-24,CUST-1203,Enterprise,Germany,49,16747.78,Active,Support
2025-01-25,CUST-1246,Professional,Australia,199,27322.21,Active,Missing Feature
2025-01-29,CUST-1396,Professional,United States,1200,28644.04,Active,Missing Feature
2025-01-30,CUST-1243,Professional,Canada,199,28333.14,Cancelled,Competitor
2025-02-01,CUST-1319,Professional,United Kingdom,2500,3523.92,Active,Price
2025-02-01,CUST-1263,Basic,India,499,5698.72,Cancelled,Budget Cut
2025-02-02,CUST-1377,Custom,United Kingdom,2500,12136.95,Active,Missing Feature
2025-02-03,CUST-1122,Basic,Canada,1200,18204.82,Active,Competitor
