Hire Date,Employee ID,Department,Job Role,Base Salary,Performance Rating,Attrition Risk
2025-01-01,EMP-5042,Customer Success,Financial Analyst,106742,1,Low
2025-01-02,EMP-5249,Sales,Software Engineer,112602,3,Low
2025-01-03,EMP-5034,Engineering,Support Lead,155468,4,Low
2025-01-06,EMP-5047,Customer Success,HR Generalist,158489,3,Low
2025-01-06,EMP-5315,Sales,Marketing Specialist,157811,3,Low
2025-01-07,EMP-5205,Sales,Sales Executive,115924,3,Low
2025-01-09,EMP-5161,Engineering,HR Generalist,102997,4,Low
2025-01-09,EMP-5334,Customer Success,Software Engineer,144051,5,Low
2025-01-10,EMP-5217,Finance,Sales Executive,156489,3,Low
2025-01-10,EMP-5049,Customer Success,Support Lead,58880,4,Low
2025-01-11,EMP-5325,Engineering,Financial Analyst,65750,5,Low
2025-01-11,EMP-5345,HR,Marketing Specialist,104434,4,Low
2025-01-12,EMP-5303,Customer Success,Support Lead,132603,2,Medium
2025-01-12,EMP-5287,Finance,Marketing Specialist,122847,2,High
2025-01-13,EMP-5258,Customer Success,Support Lead,71532,3,High
2025-01-13,EMP-5087,Sales,Software Engineer,144326,3,High
2025-01-14,EMP-5149,Marketing,Financial Analyst,102663,2,Low
2025-01-14,EMP-5044,Sales,Sales Executive,136132,5,Low
2025-01-15,EMP-5072,HR,Sales Executive,157399,2,Low
2025-01-15,EMP-5165,Sales,Software Engineer,132852,2,Low
2025-01-15,EMP-5088,Finance,Sales Executive,81756,3,High
2025-01-15,EMP-5335,Sales,Marketing Specialist,82867,5,Low
2025-01-16,EMP-5292,Engineering,Marketing Specialist,134096,4,Low
2025-01-17,EMP-5123,Customer Success,Sales Executive,135052,5,Low
2025-01-17,EMP-5339,Customer Success,Software Engineer,181340,2,Medium
2025-01-17,EMP-5187,Finance,Marketing Specialist,80022,4,Low
2025-01-17,EMP-5147,Customer Success,Marketing Specialist,87991,3,Low
2025-01-18,EMP-5140,Sales,Support Lead,131325,5,Low
2025-01-18,EMP-5302,Sales,Software Engineer,79143,2,Low
2025-01-19,EMP-5186,Sales,Financial Analyst,69016,1,High
2025-01-19,EMP-5169,Marketing,Financial Analyst,56893,4,Low
2025-01-19,EMP-5314,HR,Support Lead,158013,3,Medium
2025-01-20,EMP-5282,Customer Success,HR Generalist,106134,4,Low
2025-01-22,EMP-5301,Customer Success,Sales Executive,75981,4,Low
2025-01-22,EMP-5092,HR,HR Generalist,64589,3,Low
2025-01-23,EMP-5331,Marketing,HR Generalist,181898,1,Medium
2025-01-23,EMP-5276,Customer Success,Financial Analyst,135703,3,Low
2025-01-25,EMP-5216,Finance,HR Generalist,69345,2,Medium
2025-01-25,EMP-5098,Customer Success,Support Lead,178711,4,Low
2025-01-26,EMP-5000,Finance,Sales Executive,106638,4,Medium
2025-01-26,EMP-5264,Sales,Sales Executive,167313,3,Low
2025-01-26,EMP-5239,Customer Success,Sales Executive,168689,3,Low
2025-01-26,EMP-5172,Sales,Software Engineer,119922,3,Low
2025-01-28,EMP-5075,Customer Success,HR Generalist,111920,2,Low
2025-01-30,EMP-5252,Finance,Financial Analyst,158262,2,High
2025-01-31,EMP-5037,HR,Sales Executive,91713,4,Low
2025-02-01,EMP-5071,HR,Support Lead,74073,3,Low
2025-02-01,EMP-5036,Sales,Sales Executive,81505,3,Low
2025-02-03,EMP-5028,Customer Success,Marketing Specialist,173647,5,Low
2025-02-04,EMP-5023,Sales,HR Generalist,58407,3,Low
2025-02-05,EMP-5084,Sales,Sales Executive,158712,3,Low
2025-02-05,EMP-5003,HR,Support Lead,148627,3,Low
2025-02-06,EMP-5333,Engineering,Support Lead,93826,3,Low
2025-02-07,EMP-5017,Marketing,Financial Analyst,122084,3,High
2025-02-09,EMP-5288,Sales,Marketing Specialist,94993,4,Low
2025-02-10,EMP-5070,Sales,Marketing Specialist,105341,4,Medium
2025-02-10,EMP-5104,Engineering,Financial Analyst,166915,2,Medium
2025-02-11,EMP-5141,Sales,Software Engineer,90268,3,Low
2025-02-11,EMP-5185,Customer Success,Support Lead,147282,4,Low
2025-02-12,EMP-5233,Customer Success,HR Generalist,69292,1,Low
2025-02-12,EMP-5039,Marketing,Sales Executive,98169,5,Medium
2025-02-13,EMP-5295,HR,Support Lead,116192,4,Low
2025-02-13,EMP-5256,Sales,HR Generalist,115726,5,Low
2025-02-14,EMP-5145,Finance,HR Generalist,91404,3,Low
2025-02-14,EMP-5241,HR,HR Generalist,70620,3,Low
2025-02-15,EMP-5206,Customer Success,HR Generalist,156311,4,Low
2025-02-15,EMP-5207,Marketing,Marketing Specialist,154273,4,High
2025-02-15,EMP-5284,Marketing,Sales Executive,162967,3,Medium
2025-02-16,EMP-5158,Customer Success,HR Generalist,139146,2,Low
2025-02-17,EMP-5267,HR,HR Generalist,141373,5,Medium
2025-02-17,EMP-5313,Marketing,HR Generalist,104999,4,Low
2025-02-17,EMP-5278,Customer Success,Marketing Specialist,102636,3,Low
2025-02-17,EMP-5321,HR,HR Generalist,131000,3,Low
2025-02-18,EMP-5215,Sales,HR Generalist,103542,3,Low
2025-02-18,EMP-5196,Finance,Software Engineer,111805,4,Low
2025-02-18,EMP-5253,Sales,Support Lead,121060,3,Medium
2025-02-19,EMP-5125,Marketing,HR Generalist,139627,4,Medium
2025-02-20,EMP-5065,Sales,HR Generalist,95828,3,Medium
2025-02-20,EMP-5309,Sales,Marketing Specialist,183406,4,Low
2025-02-21,EMP-5201,Engineering,Marketing Specialist,67161,5,Low
2025-02-22,EMP-5318,Engineering,Support Lead,67446,5,Low
2025-02-23,EMP-5212,Customer Success,Financial Analyst,56211,3,Low
2025-02-24,EMP-5005,Customer Success,Support Lead,139363,3,Low
2025-02-24,EMP-5012,Sales,Financial Analyst,65024,4,Medium
2025-02-24,EMP-5197,Marketing,Financial Analyst,129323,4,Low
2025-02-25,EMP-5068,Engineering,HR Generalist,108997,3,Low
2025-02-26,EMP-5114,HR,Marketing Specialist,168153,3,Low
2025-02-27,EMP-5035,Sales,Marketing Specialist,184207,3,Low
2025-03-02,EMP-5043,Engineering,Financial Analyst,95522,5,Low
2025-03-02,EMP-5010,Engineering,Support Lead,66814,4,Low
2025-03-03,EMP-5213,Marketing,Sales Executive,55229,3,Medium
2025-03-03,EMP-5073,HR,Software Engineer,69549,3,Low
2025-03-03,EMP-5118,Sales,Financial Analyst,156839,4,Medium
2025-03-04,EMP-5193,Engineering,Support Lead,156248,4,Low
2025-03-04,EMP-5243,HR,Support Lead,75750,5,Low
2025-03-05,EMP-5077,Customer Success,HR Generalist,130515,3,Low
2025-03-07,EMP-5270,Marketing,Support Lead,118370,5,Low
2025-03-07,EMP-5289,Marketing,HR Generalist,99333,3,Low
2025-03-08,EMP-5025,Finance,Support Lead,87940,1,High
2025-03-09,EMP-5246,Finance,Support Lead,64472,3,Low
2025-03-09,EMP-5121,Finance,Support Lead,140366,2,Low
2025-03-10,EMP-5330,Marketing,Marketing Specialist,72948,1,Low
2025-03-10,EMP-5009,Sales,Financial Analyst,116030,2,Medium
2025-03-10,EMP-5324,Marketing,Software Engineer,58320,3,High
2025-03-12,EMP-5230,Sales,Financial Analyst,178885,3,Low
2025-03-12,EMP-5033,Customer Success,Financial Analyst,156190,3,Low
2025-03-12,EMP-5050,Sales,Marketing Specialist,98454,3,Medium
2025-03-12,EMP-5311,Marketing,Marketing Specialist,124351,3,Low
2025-03-13,EMP-5347,HR,Sales Executive,75269,4,Medium
2025-03-13,EMP-5342,HR,Sales Executive,162561,3,Low
2025-03-14,EMP-5148,Sales,Software Engineer,159601,3,Low
2025-03-15,EMP-5060,Sales,Software Engineer,105726,2,Low
2025-03-15,EMP-5137,Customer Success,Sales Executive,179462,2,Low
2025-03-15,EMP-5097,Engineering,Software Engineer,149686,4,Low
2025-03-17,EMP-5190,Customer Success,Marketing Specialist,98678,3,High
2025-03-19,EMP-5232,Customer Success,Support Lead,126356,5,Low
2025-03-19,EMP-5020,Customer Success,Financial Analyst,143416,3,Low
2025-03-19,EMP-5291,HR,Sales Executive,113865,5,Medium
2025-03-19,EMP-5259,Finance,Sales Executive,177689,1,Low
2025-03-19,EMP-5236,Engineering,Software Engineer,144317,4,Medium
2025-03-20,EMP-5024,Sales,Support Lead,153943,4,High
2025-03-20,EMP-5163,Engineering,Support Lead,68303,3,Low
2025-03-20,EMP-5274,Customer Success,Sales Executive,67916,3,Medium
2025-03-21,EMP-5015,Marketing,Sales Executive,112836,3,Low
2025-03-21,EMP-5229,Finance,Sales Executive,83036,2,Low
2025-03-22,EMP-5277,Sales,Sales Executive,96445,3,Low
2025-03-22,EMP-5122,Sales,Financial Analyst,68403,4,Low
2025-03-23,EMP-5179,Customer Success,Marketing Specialist,91929,4,Low
2025-03-23,EMP-5154,Sales,Software Engineer,112692,5,High
2025-03-23,EMP-5146,Engineering,Support Lead,110182,4,Medium
2025-03-23,EMP-5038,Finance,Financial Analyst,109387,3,Low
2025-03-24,EMP-5293,Sales,Marketing Specialist,104756,3,Low
2025-03-25,EMP-5281,Sales,Support Lead,84685,4,Low
2025-03-25,EMP-5316,HR,Marketing Specialist,159879,5,Low
2025-03-26,EMP-5131,HR,Software Engineer,176324,1,Low
