Trade Date,Asset Class,Ticker,Sector,Investment Amount,Return Percentage,Current Portfolio Value
2025-01-01,Venture,BTC,Energy,47903,10.72,263989.0
2025-01-02,Crypto,AMZN,Energy,148532,0.22,95669.16
2025-01-04,Venture,GLD,Financials,60956,1.42,295138.06
2025-01-04,Venture,AAPL,Energy,169503,10.92,291669.45
2025-01-07,Venture,AAPL,Financials,208430,-4.62,22750.88
2025-01-08,Venture,BND,Energy,68865,17.01,305580.72
2025-01-08,Crypto,NVDA,Consumer,63414,-2.53,221924.89
2025-01-09,Fixed Income,GOOGL,Energy,240572,1.51,43343.66
2025-01-09,Commodities,GLD,Financials,51553,14.48,234159.5
2025-01-10,Crypto,AAPL,Technology,99835,19.99,168387.21
2025-01-12,Venture,MSFT,Consumer,42177,28.38,238986.66
2025-01-13,Equities,GOOGL,Consumer,16217,31.78,316833.87
2025-01-13,Crypto,GOOGL,Energy,6379,-13.88,219173.42
2025-01-14,Venture,GLD,Technology,43244,5.27,120283.28
2025-01-15,Equities,GLD,Technology,225421,8.91,286669.34
2025-01-15,Crypto,GLD,Energy,59333,1.85,229453.98
2025-01-15,Real Estate,GOOGL,Consumer,76975,6.86,104283.89
2025-01-15,Crypto,BND,Technology,49406,26.04,10696.75
2025-01-15,Real Estate,AMZN,Consumer,11553,-2.39,163651.57
2025-01-18,Commodities,AMZN,Financials,168249,9.15,31097.33
2025-01-19,Fixed Income,BTC,Consumer,13831,23.23,30020.12
2025-01-20,Real Estate,BND,Consumer,157581,17.34,48608.47
2025-01-21,Commodities,MSFT,Financials,163525,-13.76,21063.78
2025-01-22,Crypto,NVDA,Financials,183475,-2.09,240107.04
2025-01-23,Commodities,AAPL,Energy,12253,29.94,20459.78
2025-01-24,Fixed Income,GOOGL,Consumer,194216,-14.71,155078.66
2025-01-25,Venture,GLD,Healthcare,105727,23.31,260953.31
2025-01-26,Fixed Income,BND,Technology,82085,21.28,31946.28
2025-01-26,Commodities,AMZN,Technology,193873,-5.45,237683.09
2025-01-26,Venture,MSFT,Technology,163704,-11.12,219715.78
2025-01-27,Venture,NVDA,Consumer,109405,26.67,271810.2
2025-01-27,Crypto,GLD,Healthcare,206495,13.78,207920.99
2025-01-28,Equities,BND,Energy,200403,-5.8,269614.86
2025-01-28,Crypto,MSFT,Energy,109216,33.25,100003.05
2025-01-29,Venture,AMZN,Financials,28946,-3.21,301717.02
2025-01-29,Equities,BTC,Technology,58744,-8.06,109240.4
2025-01-29,Venture,GLD,Energy,49989,6.17,307984.94
2025-01-30,Equities,BTC,Technology,124277,8.24,204027.82
2025-01-31,Venture,MSFT,Healthcare,116504,2.07,83737.55
2025-02-02,Commodities,MSFT,Energy,82123,-12.21,191110.94
2025-02-03,Commodities,BND,Energy,61232,12.91,148053.81
2025-02-03,Real Estate,AMZN,Energy,59604,31.94,183437.74
