Shipment Date,Warehouse Origin,Carrier,Destination Country,Shipping Cost,Delay Days,Customs Cleared
2025-01-01,Chicago Hub,FedEx,Brazil,770.55,8,Yes
2025-01-03,Singapore Terminal,UPS,France,1107.48,12,Yes
2025-01-04,Chicago Hub,UPS,Japan,1345.12,0,Yes
2025-01-04,Dallas FC,DB Schenker,France,1583.89,0,Yes
2025-01-08,Shenzhen Logistics,FedEx,Japan,1577.18,12,Yes
2025-01-09,Rotterdam Port,UPS,USA,1574.08,8,Yes
2025-01-09,Chicago Hub,FedEx,France,1010.77,0,Yes
2025-01-10,Shenzhen Logistics,FedEx,Germany,822.24,0,Yes
2025-01-10,Dallas FC,UPS,UK,1123.41,0,Yes
2025-01-10,Dallas FC,Maersk,UK,47.11,0,Yes
2025-01-11,Rotterdam Port,FedEx,France,1236.71,0,Yes
2025-01-12,Shenzhen Logistics,DB Schenker,Brazil,1147.46,8,Yes
2025-01-12,Rotterdam Port,Maersk,UK,1775.38,0,Yes
2025-01-13,Dallas FC,DHL,Germany,386.58,0,Yes
2025-01-13,Chicago Hub,Maersk,Brazil,1313.45,8,Yes
2025-01-14,Chicago Hub,DB Schenker,Japan,696.84,3,Yes
2025-01-14,Shenzhen Logistics,FedEx,Germany,1519.34,12,Yes
2025-01-15,Shenzhen Logistics,FedEx,USA,701.96,0,Yes
2025-01-16,Dallas FC,DB Schenker,UK,1366.89,8,Yes
2025-01-16,Singapore Terminal,DHL,France,1238.77,0,No
2025-01-17,Chicago Hub,FedEx,France,906.95,1,Yes
2025-01-17,Singapore Terminal,DHL,France,901.11,2,Yes
2025-01-17,Shenzhen Logistics,DB Schenker,UK,951.18,1,Yes
2025-01-17,Shenzhen Logistics,FedEx,Japan,242.63,0,Yes
2025-01-17,Rotterdam Port,DHL,Brazil,804.29,12,Yes
2025-01-18,Rotterdam Port,DHL,Germany,754.06,5,Yes
2025-01-18,Rotterdam Port,DB Schenker,France,1416.92,0,Yes
2025-01-18,Shenzhen Logistics,DHL,Japan,94.6,2,Yes
2025-01-18,Chicago Hub,Maersk,Japan,307.25,2,Yes
2025-01-19,Chicago Hub,FedEx,UK,245.16,12,No
2025-01-19,Shenzhen Logistics,UPS,Japan,183.09,0,Yes
2025-01-19,Singapore Terminal,FedEx,Germany,987.65,3,Yes
2025-01-20,Shenzhen Logistics,UPS,France,1371.27,0,Yes
2025-01-20,Rotterdam Port,FedEx,UK,1478.59,1,Yes
2025-01-21,Dallas FC,Maersk,Japan,1350.26,0,Yes
2025-01-23,Dallas FC,DB Schenker,Brazil,1124.21,3,Yes
2025-01-23,Chicago Hub,DB Schenker,USA,623.83,8,Yes
2025-01-24,Rotterdam Port,FedEx,Japan,938.3,3,Yes
2025-01-25,Rotterdam Port,UPS,France,552.0,5,Yes
2025-01-26,Dallas FC,DB Schenker,Brazil,1785.25,3,Yes
2025-01-27,Shenzhen Logistics,DHL,Brazil,417.28,0,Yes
2025-01-27,Chicago Hub,DB Schenker,Germany,1035.6,0,No
2025-01-27,Shenzhen Logistics,DB Schenker,UK,388.7,12,Yes
2025-01-28,Dallas FC,UPS,USA,352.43,0,Yes
2025-01-28,Singapore Terminal,UPS,Japan,1278.5,3,Yes
2025-01-31,Chicago Hub,UPS,France,1126.92,0,Yes
2025-01-31,Chicago Hub,UPS,France,1178.58,0,Yes
2025-02-01,Singapore Terminal,DB Schenker,UK,1006.51,12,Yes
2025-02-01,Singapore Terminal,FedEx,France,619.85,0,Yes
2025-02-05,Rotterdam Port,UPS,USA,1378.8,0,Yes
2025-02-05,Singapore Terminal,FedEx,Germany,876.49,2,Yes
2025-02-05,Dallas FC,DHL,UK,1100.58,1,Yes
2025-02-05,Rotterdam Port,DHL,Germany,1723.74,2,Yes
2025-02-06,Chicago Hub,Maersk,Brazil,668.81,1,Yes
2025-02-06,Rotterdam Port,Maersk,Japan,1111.99,0,No
2025-02-07,Dallas FC,DB Schenker,France,1763.94,0,Yes
2025-02-07,Singapore Terminal,Maersk,USA,564.37,8,Yes
2025-02-09,Chicago Hub,DB Schenker,Germany,1245.79,5,Yes
2025-02-10,Dallas FC,FedEx,France,1410.02,12,Yes
2025-02-10,Shenzhen Logistics,DHL,Germany,1086.19,2,Yes
2025-02-10,Singapore Terminal,UPS,UK,773.46,3,Yes
2025-02-11,Dallas FC,Maersk,UK,1431.36,0,Yes
2025-02-12,Rotterdam Port,UPS,Germany,1146.16,0,Yes
2025-02-12,Shenzhen Logistics,Maersk,Brazil,630.67,2,Yes
2025-02-12,Shenzhen Logistics,DHL,USA,517.72,3,Yes
2025-02-12,Singapore Terminal,DHL,France,230.64,0,Yes
2025-02-13,Rotterdam Port,Maersk,UK,139.24,3,Yes
2025-02-14,Shenzhen Logistics,UPS,France,1202.25,3,Yes
2025-02-15,Shenzhen Logistics,UPS,Japan,1008.94,8,Yes
2025-02-15,Rotterdam Port,FedEx,Germany,502.72,0,Yes
2025-02-16,Singapore Terminal,Maersk,USA,895.79,1,Yes
2025-02-16,Chicago Hub,DHL,Brazil,1121.5,5,Yes
2025-02-17,Rotterdam Port,DHL,UK,474.11,0,Yes
2025-02-17,Rotterdam Port,DB Schenker,UK,778.34,0,Yes
2025-02-19,Singapore Terminal,UPS,Brazil,1195.57,12,Yes
2025-02-19,Singapore Terminal,DB Schenker,UK,1754.27,12,Yes
2025-02-20,Rotterdam Port,UPS,Japan,201.63,0,Yes
2025-02-21,Dallas FC,UPS,UK,1348.49,5,Yes
2025-02-21,Chicago Hub,DHL,UK,1420.4,0,Yes
2025-02-22,Singapore Terminal,DB Schenker,Germany,416.31,3,Yes
2025-02-25,Dallas FC,DB Schenker,Germany,1105.15,0,Yes
2025-02-25,Chicago Hub,DB Schenker,USA,495.01,2,Yes
2025-02-27,Singapore Terminal,UPS,Germany,1429.61,1,Yes
2025-02-27,Shenzhen Logistics,FedEx,Japan,1182.53,5,Yes
2025-02-28,Singapore Terminal,UPS,France,741.05,5,Yes
2025-02-28,Chicago Hub,FedEx,USA,228.41,0,Yes
2025-02-28,Chicago Hub,DHL,Brazil,1382.72,12,Yes
2025-02-28,Shenzhen Logistics,DHL,USA,449.39,0,Yes
2025-03-02,Singapore Terminal,DB Schenker,France,1797.72,3,Yes
2025-03-03,Shenzhen Logistics,DHL,Japan,557.15,2,Yes
2025-03-03,Dallas FC,DHL,UK,984.05,0,Yes
2025-03-04,Shenzhen Logistics,Maersk,USA,244.29,3,Yes
2025-03-05,Dallas FC,DHL,UK,1695.96,1,Yes
2025-03-05,Singapore Terminal,DB Schenker,Germany,706.32,1,Yes
2025-03-05,Chicago Hub,DB Schenker,Brazil,170.85,3,No
2025-03-07,Singapore Terminal,FedEx,Japan,495.58,8,Yes
2025-03-09,Rotterdam Port,DHL,Japan,1376.93,3,Yes
2025-03-10,Rotterdam Port,DB Schenker,USA,1387.77,1,Yes
2025-03-10,Dallas FC,DHL,France,1126.25,12,Yes
2025-03-11,Singapore Terminal,DB Schenker,UK,807.41,5,Yes
2025-03-12,Singapore Terminal,UPS,France,356.0,0,Yes
2025-03-12,Chicago Hub,DHL,Brazil,896.62,8,Yes
2025-03-12,Singapore Terminal,Maersk,USA,59.57,2,Yes
2025-03-14,Shenzhen Logistics,DB Schenker,Germany,240.36,3,Yes
2025-03-14,Rotterdam Port,DB Schenker,UK,319.24,5,Yes
2025-03-15,Rotterdam Port,DHL,Brazil,1237.54,8,Yes
2025-03-15,Shenzhen Logistics,UPS,UK,1308.01,0,Yes
2025-03-19,Rotterdam Port,DB Schenker,Japan,486.67,8,Yes
2025-03-19,Shenzhen Logistics,Maersk,UK,791.42,2,Yes
2025-03-19,Dallas FC,UPS,Germany,1609.11,1,Yes
2025-03-20,Dallas FC,UPS,Germany,1725.97,0,Yes
2025-03-20,Shenzhen Logistics,UPS,Brazil,398.54,0,Yes
2025-03-21,Rotterdam Port,DB Schenker,Japan,140.72,1,Yes
2025-03-21,Dallas FC,FedEx,Germany,442.1,0,Yes
2025-03-21,Dallas FC,DHL,Japan,442.21,5,Yes
2025-03-22,Shenzhen Logistics,DB Schenker,Brazil,1744.92,0,Yes
2025-03-22,Chicago Hub,DHL,France,312.91,5,Yes
2025-03-23,Chicago Hub,Maersk,France,649.6,0,Yes
2025-03-24,Dallas FC,DB Schenker,Brazil,381.76,2,Yes
2025-03-25,Rotterdam Port,UPS,UK,984.85,2,Yes
2025-03-25,Shenzhen Logistics,Maersk,Germany,1399.53,12,Yes
2025-03-25,Shenzhen Logistics,DB Schenker,France,1546.58,0,Yes
2025-03-25,Rotterdam Port,Maersk,France,1535.12,8,Yes
2025-03-26,Rotterdam Port,UPS,UK,1468.58,2,Yes
2025-03-27,Singapore Terminal,UPS,Germany,521.08,8,Yes
2025-03-28,Singapore Terminal,UPS,USA,1467.99,3,Yes
2025-03-31,Shenzhen Logistics,DB Schenker,Germany,900.46,1,Yes
2025-04-02,Rotterdam Port,DHL,Japan,1540.68,1,Yes
2025-04-02,Singapore Terminal,Maersk,Brazil,225.47,12,No
2025-04-03,Chicago Hub,FedEx,Brazil,1063.21,12,Yes
2025-04-05,Chicago Hub,DB Schenker,Brazil,1243.22,12,Yes
2025-04-06,Singapore Terminal,FedEx,USA,452.1,0,Yes
2025-04-08,Rotterdam Port,DB Schenker,Japan,1407.12,5,Yes
2025-04-08,Rotterdam Port,FedEx,France,1142.91,0,Yes
2025-04-08,Shenzhen Logistics,DHL,USA,1665.12,8,No
2025-04-09,Singapore Terminal,UPS,USA,970.41,3,Yes
2025-04-11,Dallas FC,DB Schenker,Brazil,1383.81,8,Yes
2025-04-11,Chicago Hub,DB Schenker,USA,1555.8,0,Yes
2025-04-13,Dallas FC,FedEx,France,241.93,1,Yes
2025-04-13,Dallas FC,Maersk,Brazil,682.5,0,Yes
2025-04-14,Shenzhen Logistics,DB Schenker,Japan,1437.12,0,Yes
