Campaign Date,Platform,Campaign Name,Ad Spend,Impressions,Clicks,Conversions,ROI Ratio
2025-01-02,YouTube Ads,Retargeting Fall,1637.58,338274,3968,480,7.96
2025-01-02,YouTube Ads,Brand Awareness,6930.01,292383,4737,164,6.97
2025-01-06,YouTube Ads,Black Friday Promo,4869.03,389384,1267,437,4.1
2025-01-07,Google Ads,Brand Awareness,9324.37,261767,10474,211,3.94
2025-01-07,Google Ads,Enterprise Webinar,7113.74,338778,14912,443,5.08
2025-01-08,YouTube Ads,Enterprise Webinar,1946.14,371363,16023,557,6.32
2025-01-09,Meta Ads,Brand Awareness,10610.62,249128,15298,563,6.52
2025-01-09,YouTube Ads,Q1 Product Launch,8886.21,134750,3056,470,2.23
2025-01-10,LinkedIn Ads,Black Friday Promo,9421.72,444812,1785,455,2.62
2025-01-10,YouTube Ads,Brand Awareness,2790.35,378954,6874,106,4.18
2025-01-15,Google Ads,Brand Awareness,2447.69,186289,11736,278,8.13
2025-01-16,Meta Ads,Q1 Product Launch,11794.63,233524,12862,414,5.58
2025-01-19,Google Ads,Black Friday Promo,1037.98,161836,13647,195,2.46
2025-01-19,Google Ads,Retargeting Fall,1779.19,321295,17711,298,1.35
2025-01-19,Meta Ads,Q1 Product Launch,10554.22,445805,14010,531,1.55
2025-01-19,Meta Ads,Retargeting Fall,11113.58,222823,11084,258,8.44
2025-01-19,Meta Ads,Enterprise Webinar,1810.43,340975,10811,673,6.21
2025-01-21,YouTube Ads,Brand Awareness,4521.44,386140,8015,671,3.09
2025-01-21,Google Ads,Black Friday Promo,5780.39,235612,15487,475,8.02
2025-01-21,Meta Ads,Q1 Product Launch,1915.58,185931,16818,654,4.5
2025-01-23,Google Ads,Q1 Product Launch,1341.49,396794,2018,314,5.96
2025-01-23,Google Ads,Q1 Product Launch,11829.62,359235,17147,721,4.79
2025-01-25,Google Ads,Q1 Product Launch,3863.59,407648,7756,799,4.72
2025-01-26,LinkedIn Ads,Black Friday Promo,11439.08,50000,16872,67,6.95
2025-01-28,Meta Ads,Brand Awareness,3306.97,193643,14660,183,7.99
2025-01-28,TikTok Ads,Black Friday Promo,9544.28,112592,3465,171,2.79
2025-01-29,Google Ads,Retargeting Fall,5778.98,76723,3505,649,6.69
2025-02-05,Google Ads,Q1 Product Launch,4557.4,442685,16775,107,1.36
2025-02-09,Meta Ads,Retargeting Fall,5374.62,27528,3974,489,8.39
2025-02-11,Google Ads,Brand Awareness,3788.27,269830,15312,211,6.32
2025-02-12,YouTube Ads,Retargeting Fall,1702.14,153414,2882,76,6.21
2025-02-13,Meta Ads,Enterprise Webinar,5255.23,446486,4303,88,3.74
2025-02-14,TikTok Ads,Black Friday Promo,5509.95,256921,17143,504,5.52
2025-02-15,LinkedIn Ads,Enterprise Webinar,11795.82,318673,17195,732,4.18
2025-02-15,TikTok Ads,Retargeting Fall,9532.98,200984,3640,57,8.16
2025-02-16,Meta Ads,Brand Awareness,8464.31,195128,6159,700,5.26
2025-02-17,LinkedIn Ads,Retargeting Fall,746.4,64431,3511,249,5.48
2025-02-17,YouTube Ads,Brand Awareness,5062.98,142216,15355,339,6.17
2025-02-17,LinkedIn Ads,Black Friday Promo,10147.6,240431,4208,763,7.12
2025-02-18,Meta Ads,Brand Awareness,9201.45,12203,17934,267,5.93
2025-02-19,TikTok Ads,Black Friday Promo,3266.53,260927,10469,602,4.42
2025-02-20,YouTube Ads,Retargeting Fall,11874.3,215253,14278,810,7.98
2025-02-20,Meta Ads,Brand Awareness,1242.04,361667,16829,117,5.1
2025-02-20,Google Ads,Q1 Product Launch,4281.71,39114,13147,520,1.43
2025-02-21,TikTok Ads,Q1 Product Launch,4530.61,228174,10038,313,4.08
2025-02-22,Meta Ads,Black Friday Promo,2870.19,147693,9542,15,6.12
2025-02-25,Google Ads,Brand Awareness,6495.89,443601,15549,395,6.56
2025-02-26,TikTok Ads,Retargeting Fall,6313.41,437463,1419,730,6.41
2025-02-27,Google Ads,Q1 Product Launch,8233.45,127574,790,534,3.8
2025-02-28,Meta Ads,Enterprise Webinar,9921.65,232452,6914,797,6.02
2025-03-01,YouTube Ads,Q1 Product Launch,6441.06,294699,6311,182,2.82
2025-03-01,YouTube Ads,Brand Awareness,825.44,438387,16585,492,7.52
