Snapshot Date,Store Location,Category,Item Stock On Hand,Reorder Threshold,Unit Wholesale Price,Stockout Flag
2025-01-01,Store #105 Berlin,Home & Kitchen,488,100,210.51,Low Stock
2025-01-01,Store #102 LA,Home & Kitchen,8,100,228.63,In Stock
2025-01-03,Store #104 Tokyo,Apparel,355,100,70.88,In Stock
2025-01-04,Store #104 Tokyo,Home & Kitchen,140,100,247.96,Low Stock
2025-01-04,Store #102 LA,Sports Goods,25,100,245.41,In Stock
2025-01-04,Store #105 Berlin,Home & Kitchen,372,150,300.01,In Stock
2025-01-06,Store #105 Berlin,Home & Kitchen,187,100,335.31,Low Stock
2025-01-07,Store #103 London,Beauty,59,100,407.75,In Stock
2025-01-10,Store #103 London,Apparel,126,20,323.45,Low Stock
2025-01-11,Store #104 Tokyo,Beauty,173,150,350.56,Low Stock
2025-01-11,Store #104 Tokyo,Apparel,427,50,445.48,Low Stock
2025-01-12,Store #102 LA,Beauty,240,100,78.95,In Stock
2025-01-12,Store #101 NYC,Apparel,107,150,359.78,In Stock
2025-01-13,Store #102 LA,Beauty,221,50,351.95,In Stock
2025-01-14,Store #102 LA,Apparel,132,50,183.0,In Stock
2025-01-14,Store #101 NYC,Apparel,433,50,57.91,Out of Stock
2025-01-14,Store #103 London,Electronics,465,100,61.82,In Stock
2025-01-16,Store #103 London,Home & Kitchen,346,50,278.16,In Stock
2025-01-16,Store #104 Tokyo,Home & Kitchen,310,50,278.21,Low Stock
2025-01-16,Store #101 NYC,Apparel,400,50,232.44,In Stock
2025-01-17,Store #104 Tokyo,Sports Goods,286,150,116.56,In Stock
2025-01-18,Store #103 London,Electronics,399,150,305.58,Out of Stock
2025-01-21,Store #103 London,Home & Kitchen,463,100,18.24,Low Stock
2025-01-23,Store #104 Tokyo,Home & Kitchen,447,150,21.59,In Stock
2025-01-23,Store #101 NYC,Electronics,405,100,385.16,Out of Stock
2025-01-24,Store #104 Tokyo,Beauty,53,100,408.26,In Stock
2025-01-24,Store #104 Tokyo,Sports Goods,370,20,273.93,In Stock
2025-01-25,Store #104 Tokyo,Sports Goods,474,100,86.59,In Stock
2025-01-26,Store #103 London,Beauty,374,50,44.54,In Stock
2025-01-28,Store #101 NYC,Home & Kitchen,296,50,214.48,In Stock
2025-01-29,Store #103 London,Home & Kitchen,229,150,437.84,In Stock
2025-01-29,Store #102 LA,Apparel,250,100,420.99,Low Stock
2025-01-30,Store #101 NYC,Home & Kitchen,401,50,333.73,In Stock
2025-01-31,Store #104 Tokyo,Home & Kitchen,256,50,227.4,In Stock
2025-01-31,Store #101 NYC,Apparel,251,20,183.1,In Stock
2025-02-01,Store #104 Tokyo,Apparel,191,150,248.09,In Stock
2025-02-01,Store #105 Berlin,Sports Goods,74,50,161.78,In Stock
2025-02-01,Store #104 Tokyo,Beauty,485,150,331.66,In Stock
2025-02-02,Store #101 NYC,Beauty,75,100,260.08,In Stock
2025-02-02,Store #104 Tokyo,Electronics,186,150,56.11,In Stock
2025-02-02,Store #104 Tokyo,Apparel,80,150,349.64,In Stock
2025-02-05,Store #103 London,Electronics,432,150,153.74,In Stock
2025-02-06,Store #101 NYC,Sports Goods,430,50,219.43,In Stock
2025-02-06,Store #103 London,Home & Kitchen,240,20,186.36,In Stock
2025-02-07,Store #105 Berlin,Beauty,382,150,219.01,In Stock
2025-02-07,Store #103 London,Electronics,339,100,254.48,In Stock
2025-02-09,Store #105 Berlin,Home & Kitchen,23,20,315.11,In Stock
2025-02-10,Store #101 NYC,Apparel,9,20,447.73,In Stock
2025-02-11,Store #103 London,Beauty,294,150,71.61,In Stock
2025-02-11,Store #105 Berlin,Sports Goods,185,150,326.71,Out of Stock
2025-02-11,Store #105 Berlin,Sports Goods,113,50,270.12,In Stock
2025-02-14,Store #104 Tokyo,Sports Goods,132,50,45.9,In Stock
2025-02-15,Store #103 London,Electronics,190,150,253.54,Low Stock
2025-02-15,Store #102 LA,Sports Goods,57,100,405.48,Low Stock
2025-02-16,Store #102 LA,Electronics,28,50,183.46,In Stock
2025-02-16,Store #105 Berlin,Apparel,357,50,436.41,In Stock
2025-02-17,Store #103 London,Beauty,81,150,207.16,In Stock
2025-02-18,Store #102 LA,Sports Goods,419,150,179.46,In Stock
2025-02-18,Store #105 Berlin,Apparel,410,20,81.54,In Stock
2025-02-19,Store #104 Tokyo,Sports Goods,497,50,371.97,In Stock
2025-02-19,Store #101 NYC,Electronics,353,50,184.57,In Stock
2025-02-20,Store #103 London,Sports Goods,235,100,71.83,In Stock
2025-02-22,Store #102 LA,Apparel,358,100,177.02,In Stock
2025-02-22,Store #105 Berlin,Beauty,36,100,320.48,In Stock
2025-02-23,Store #101 NYC,Sports Goods,436,100,79.89,In Stock
2025-02-23,Store #102 LA,Home & Kitchen,336,20,143.59,Low Stock
2025-02-23,Store #101 NYC,Electronics,128,100,171.53,Low Stock
2025-02-23,Store #104 Tokyo,Beauty,195,100,413.95,In Stock
2025-02-24,Store #105 Berlin,Home & Kitchen,123,150,57.22,In Stock
2025-02-24,Store #102 LA,Sports Goods,124,100,245.99,Low Stock
2025-02-26,Store #104 Tokyo,Beauty,306,150,73.47,In Stock
2025-02-27,Store #101 NYC,Electronics,452,20,81.86,Low Stock
2025-02-27,Store #104 Tokyo,Electronics,440,50,172.32,In Stock
2025-03-02,Store #104 Tokyo,Electronics,414,50,417.96,In Stock
2025-03-02,Store #102 LA,Home & Kitchen,107,150,378.93,In Stock
2025-03-02,Store #101 NYC,Beauty,100,150,445.57,In Stock
2025-03-02,Store #102 LA,Apparel,488,100,162.94,In Stock
2025-03-03,Store #105 Berlin,Beauty,306,20,360.5,In Stock
2025-03-03,Store #104 Tokyo,Apparel,101,100,258.81,Low Stock
2025-03-04,Store #103 London,Home & Kitchen,143,50,203.09,Low Stock
2025-03-06,Store #105 Berlin,Electronics,476,20,182.14,In Stock
2025-03-06,Store #101 NYC,Home & Kitchen,231,20,414.76,In Stock
2025-03-06,Store #101 NYC,Home & Kitchen,123,150,291.42,Low Stock
2025-03-07,Store #101 NYC,Apparel,203,150,39.55,Low Stock
2025-03-07,Store #101 NYC,Apparel,311,150,415.37,Low Stock
2025-03-07,Store #105 Berlin,Beauty,223,100,387.07,In Stock
2025-03-08,Store #101 NYC,Electronics,160,50,297.02,In Stock
2025-03-08,Store #102 LA,Sports Goods,63,50,242.11,Low Stock
2025-03-09,Store #104 Tokyo,Home & Kitchen,477,150,241.5,In Stock
2025-03-10,Store #101 NYC,Apparel,189,50,196.23,In Stock
2025-03-10,Store #104 Tokyo,Sports Goods,154,150,310.28,In Stock
2025-03-11,Store #102 LA,Apparel,38,150,221.28,Low Stock
2025-03-11,Store #101 NYC,Electronics,488,150,219.06,In Stock
2025-03-14,Store #105 Berlin,Apparel,81,50,38.94,In Stock
2025-03-18,Store #101 NYC,Sports Goods,499,100,356.54,Low Stock
2025-03-18,Store #105 Berlin,Apparel,423,100,91.48,In Stock
2025-03-19,Store #104 Tokyo,Beauty,107,100,23.1,In Stock
2025-03-21,Store #101 NYC,Electronics,191,150,47.57,Out of Stock
2025-03-23,Store #102 LA,Apparel,135,50,38.56,In Stock
2025-03-24,Store #105 Berlin,Sports Goods,128,20,281.51,Out of Stock
2025-03-24,Store #102 LA,Home & Kitchen,351,20,445.42,In Stock
2025-03-26,Store #101 NYC,Home & Kitchen,454,20,398.92,In Stock
2025-03-27,Store #101 NYC,Apparel,497,20,254.13,In Stock
2025-03-28,Store #104 Tokyo,Sports Goods,496,50,378.97,In Stock
2025-03-29,Store #103 London,Sports Goods,309,150,291.0,In Stock
2025-03-29,Store #105 Berlin,Electronics,54,150,351.7,Low Stock
2025-03-30,Store #101 NYC,Beauty,38,100,48.92,In Stock
2025-03-30,Store #103 London,Home & Kitchen,52,50,116.88,In Stock
2025-03-30,Store #104 Tokyo,Home & Kitchen,338,50,258.11,In Stock
2025-03-31,Store #103 London,Sports Goods,336,150,20.16,In Stock
2025-04-03,Store #104 Tokyo,Beauty,477,150,177.67,In Stock
2025-04-04,Store #102 LA,Home & Kitchen,338,50,126.94,In Stock
2025-04-04,Store #101 NYC,Home & Kitchen,26,150,408.76,In Stock
2025-04-05,Store #104 Tokyo,Apparel,42,20,441.4,Low Stock
2025-04-06,Store #105 Berlin,Electronics,207,100,404.45,Low Stock
2025-04-06,Store #105 Berlin,Electronics,142,20,196.2,In Stock
2025-04-06,Store #104 Tokyo,Home & Kitchen,295,20,230.51,In Stock
2025-04-06,Store #101 NYC,Electronics,344,50,279.28,In Stock
2025-04-08,Store #104 Tokyo,Sports Goods,89,100,43.77,In Stock
2025-04-08,Store #103 London,Electronics,91,100,80.87,In Stock
2025-04-11,Store #105 Berlin,Electronics,377,150,133.53,In Stock
2025-04-11,Store #102 LA,Electronics,81,50,191.13,In Stock
2025-04-11,Store #101 NYC,Apparel,314,50,65.93,In Stock
2025-04-13,Store #103 London,Beauty,362,50,363.86,In Stock
2025-04-13,Store #104 Tokyo,Electronics,440,150,355.33,In Stock
2025-04-13,Store #103 London,Home & Kitchen,35,50,352.92,Low Stock
2025-04-14,Store #102 LA,Apparel,118,100,56.47,In Stock
2025-04-15,Store #105 Berlin,Sports Goods,405,100,281.96,In Stock
2025-04-15,Store #101 NYC,Home & Kitchen,426,20,180.79,In Stock
2025-04-15,Store #103 London,Home & Kitchen,425,50,251.97,Low Stock
2025-04-15,Store #105 Berlin,Apparel,362,100,445.57,In Stock
2025-04-16,Store #101 NYC,Beauty,487,150,327.1,Low Stock
2025-04-18,Store #102 LA,Apparel,275,100,86.01,In Stock
2025-04-18,Store #105 Berlin,Sports Goods,112,150,203.5,In Stock
2025-04-19,Store #102 LA,Electronics,450,20,328.94,In Stock
2025-04-22,Store #105 Berlin,Beauty,155,100,110.9,In Stock
2025-04-22,Store #101 NYC,Beauty,303,150,378.9,In Stock
2025-04-23,Store #103 London,Sports Goods,314,100,248.23,In Stock
2025-04-23,Store #102 LA,Beauty,155,150,122.95,In Stock
2025-04-23,Store #104 Tokyo,Home & Kitchen,297,150,30.25,In Stock
2025-04-24,Store #101 NYC,Home & Kitchen,211,150,288.95,In Stock
2025-04-24,Store #103 London,Beauty,370,50,153.28,Low Stock
2025-04-24,Store #103 London,Electronics,453,20,384.22,Out of Stock
2025-04-26,Store #103 London,Home & Kitchen,490,20,304.69,In Stock
2025-04-26,Store #105 Berlin,Electronics,91,100,168.04,In Stock
2025-04-29,Store #102 LA,Home & Kitchen,203,50,286.45,In Stock
2025-04-29,Store #103 London,Electronics,321,100,193.63,In Stock
2025-05-01,Store #102 LA,Beauty,72,100,402.58,In Stock
2025-05-03,Store #101 NYC,Home & Kitchen,326,100,368.68,In Stock
2025-05-03,Store #105 Berlin,Beauty,86,50,442.3,In Stock
2025-05-05,Store #101 NYC,Sports Goods,363,150,234.14,In Stock
2025-05-05,Store #105 Berlin,Home & Kitchen,499,150,442.0,In Stock
2025-05-06,Store #101 NYC,Apparel,485,20,277.74,Low Stock
2025-05-06,Store #101 NYC,Home & Kitchen,62,50,110.24,In Stock
2025-05-09,Store #104 Tokyo,Electronics,343,50,384.04,Low Stock
2025-05-10,Store #101 NYC,Electronics,201,100,143.06,In Stock
2025-05-11,Store #104 Tokyo,Beauty,164,20,257.31,In Stock
2025-05-11,Store #102 LA,Sports Goods,142,50,359.73,Low Stock
2025-05-13,Store #103 London,Apparel,73,150,260.91,In Stock
2025-05-13,Store #102 LA,Home & Kitchen,396,150,189.53,Out of Stock
2025-05-14,Store #102 LA,Beauty,281,50,151.25,Low Stock
2025-05-14,Store #104 Tokyo,Home & Kitchen,79,100,448.19,Low Stock
2025-05-16,Store #104 Tokyo,Electronics,235,100,435.34,In Stock
