Checkin Date,Room Type,Booking Channel,Nights Stayed,Nightly Rate,Total Bill Amount,Cancelled
2025-01-02,Executive King,Airbnb,4,829.7,1009.21,No
2025-01-03,Executive King,Airbnb,6,825.76,3891.17,No
2025-01-04,Deluxe Ocean View,Expedia,1,474.42,1611.61,No
2025-01-05,Family Room,Airbnb,4,614.96,1580.0,No
2025-01-06,Presidential Suite,Direct Website,9,382.84,536.18,No
2025-01-06,Deluxe Ocean View,Airbnb,9,499.69,4794.7,No
2025-01-07,Presidential Suite,Direct Website,8,668.42,4476.37,No
2025-01-07,Presidential Suite,Expedia,9,948.38,2070.36,No
2025-01-09,Executive King,Expedia,7,336.83,6315.34,No
2025-01-10,Family Room,Booking.com,4,515.26,4157.23,No
2025-01-10,Family Room,Direct Website,4,428.57,3365.71,No
2025-01-11,Executive King,Direct Website,6,628.25,5250.27,Yes
2025-01-12,Presidential Suite,Booking.com,7,186.58,1524.91,No
2025-01-13,Deluxe Ocean View,Direct Website,7,477.36,2891.34,Yes
2025-01-13,Executive King,Airbnb,7,534.69,5080.98,No
2025-01-16,Family Room,Airbnb,9,411.2,2650.03,No
2025-01-17,Executive King,Airbnb,9,545.39,2311.96,No
2025-01-17,Presidential Suite,Expedia,8,942.29,6466.72,No
2025-01-17,Executive King,Corporate Travel,3,392.99,2640.0,No
2025-01-17,Deluxe Ocean View,Expedia,9,521.82,2263.93,No
2025-01-20,Executive King,Direct Website,7,217.62,3990.01,Yes
2025-01-21,Presidential Suite,Airbnb,9,585.98,5527.18,No
2025-01-21,Family Room,Direct Website,1,751.85,2703.71,No
2025-01-23,Presidential Suite,Corporate Travel,3,238.82,4164.97,No
2025-01-23,Family Room,Direct Website,8,782.09,2582.33,No
2025-01-24,Family Room,Direct Website,1,871.16,5900.2,No
2025-01-26,Executive King,Booking.com,7,270.91,5766.3,No
2025-01-27,Presidential Suite,Expedia,7,687.16,5187.09,No
2025-01-27,Family Room,Corporate Travel,7,916.75,5958.68,No
2025-01-28,Deluxe Ocean View,Direct Website,5,123.29,3672.21,No
2025-01-28,Standard Suite,Direct Website,2,694.42,506.84,No
2025-01-29,Presidential Suite,Direct Website,8,766.72,2169.06,Yes
2025-01-30,Presidential Suite,Airbnb,3,809.77,422.04,No
2025-01-31,Presidential Suite,Airbnb,6,230.13,2946.97,No
2025-01-31,Deluxe Ocean View,Airbnb,1,837.16,5811.56,No
2025-02-02,Standard Suite,Expedia,7,161.95,1855.69,No
2025-02-02,Deluxe Ocean View,Airbnb,7,249.64,314.47,No
2025-02-03,Standard Suite,Booking.com,9,300.22,1142.6,No
2025-02-04,Deluxe Ocean View,Booking.com,9,305.28,319.7,No
2025-02-04,Standard Suite,Booking.com,4,670.7,1502.17,Yes
2025-02-06,Executive King,Airbnb,3,623.23,300.53,No
2025-02-07,Deluxe Ocean View,Expedia,2,536.43,5270.58,No
2025-02-08,Standard Suite,Expedia,7,803.41,1989.69,No
2025-02-09,Presidential Suite,Expedia,4,317.69,4189.52,No
2025-02-09,Standard Suite,Airbnb,8,393.23,5914.02,Yes
2025-02-09,Family Room,Corporate Travel,2,445.85,4456.89,No
