Created Date,Ticket ID,Category,Priority,Resolution Time Hours,CSAT Score,Escalated
2025-01-01,TCK-8352,Feature Request,P2 High,53.2,3,No
2025-01-02,TCK-8335,Integration Error,P4 Low,37.3,5,No
2025-01-03,TCK-8080,Integration Error,P3 Medium,41.6,5,No
2025-01-05,TCK-8338,Performance Lag,P3 Medium,52.7,5,No
2025-01-05,TCK-8470,Billing Bug,P3 Medium,65.0,5,Yes
2025-01-05,TCK-8325,Feature Request,P2 High,63.3,4,No
2025-01-06,TCK-8299,Feature Request,P3 Medium,55.4,5,No
2025-01-09,TCK-8074,Performance Lag,P1 Critical,57.8,5,No
2025-01-09,TCK-8390,Account Lock,P2 High,65.6,3,No
2025-01-10,TCK-8414,Feature Request,P3 Medium,27.7,5,No
2025-01-12,TCK-8087,Integration Error,P3 Medium,60.5,5,No
2025-01-12,TCK-8239,Account Lock,P3 Medium,25.3,4,No
2025-01-13,TCK-8427,Performance Lag,P2 High,67.0,5,No
2025-01-14,TCK-8243,Billing Bug,P2 High,18.5,4,No
2025-01-14,TCK-8148,Integration Error,P3 Medium,71.9,5,No
2025-01-14,TCK-8435,Account Lock,P3 Medium,58.7,4,Yes
2025-01-16,TCK-8269,Integration Error,P1 Critical,56.2,5,Yes
2025-01-17,TCK-8439,Billing Bug,P1 Critical,1.5,4,No
2025-01-18,TCK-8067,Performance Lag,P3 Medium,36.5,4,No
2025-01-19,TCK-8421,Account Lock,P2 High,11.8,1,No
2025-01-21,TCK-8249,Feature Request,P4 Low,6.2,5,No
2025-01-22,TCK-8023,Billing Bug,P2 High,64.1,5,No
2025-01-22,TCK-8166,Integration Error,P2 High,36.1,2,No
2025-01-22,TCK-8490,Account Lock,P4 Low,24.4,4,No
2025-01-22,TCK-8127,Billing Bug,P2 High,66.4,5,No
2025-01-23,TCK-8056,Account Lock,P3 Medium,34.0,3,No
2025-01-23,TCK-8452,Performance Lag,P3 Medium,14.3,5,No
2025-01-24,TCK-8136,Account Lock,P3 Medium,44.9,5,Yes
2025-01-26,TCK-8358,Billing Bug,P2 High,25.8,5,No
2025-01-27,TCK-8228,Billing Bug,P3 Medium,58.2,5,No
2025-01-30,TCK-8018,Account Lock,P2 High,47.6,3,No
2025-01-30,TCK-8257,Performance Lag,P2 High,62.6,3,Yes
2025-01-30,TCK-8181,Performance Lag,P2 High,2.2,5,No
2025-01-30,TCK-8149,Account Lock,P1 Critical,18.4,5,Yes
2025-01-31,TCK-8042,Performance Lag,P4 Low,37.2,5,No
2025-02-01,TCK-8410,Feature Request,P4 Low,65.5,4,No
2025-02-01,TCK-8292,Integration Error,P2 High,12.4,5,No
2025-02-01,TCK-8064,Account Lock,P2 High,36.3,4,No
2025-02-01,TCK-8015,Billing Bug,P3 Medium,12.8,2,No
